Title,Price_Text,Price_Numeric,Location,Bedrooms,Bathrooms,Area_Size,Area_Unit,Area_Sqft
Near To Park 1 Kanal SPANISH Beautiful Design Bungalow For Sale At Prime Location,8.15 Crore,81500000.0,"DHA Phase 5 - Block H, DHA Phase 5",5.0,6.0,1.0,Kanal,5445.0
Spanish Design House For Sale At Top Location Near To Raya Commercial And Park,12.75 Crore,127500000.0,"DHA Phase 7, DHA Defence",5.0,6.0,2.0,Kanal,10890.0
NEAR TO DOLMEN MALL 01 KANAL BRAND NEW GALLERIA DESIGN LUXURIOUS AND GRACEFUL HOUSE FOR SALE,7.5 Crore,75000000.0,"DHA Phase 6, DHA Defence",5.0,6.0,1.0,Kanal,5445.0
ORGINAL PICS 1 KANAL FULLY FURNISHED BRANDED HOUSE NEAR PARK,13.5 Crore,135000000.0,"DHA Phase 6 - Block K, DHA Phase 6",5.0,6.0,1.0,Kanal,5445.0
10 Marla House For Sale In Sector C LDA Approved With Gas Nearby School Mosque Market And All Commercial,2.8 Crore,28000000.0,"Bahria Town - Sector C, Bahria Town",5.0,6.0,10.0,Marla,2722.5
5 Marla Ultra Modern House For Sale,2 Crore,20000000.0,"Central Park Housing Scheme, Lahore",4.0,4.0,5.0,Marla,1361.25
3 Years Installment Plan Luxury Brand New 10 Marla House In Bahria Orchard Lahore,3.2 Crore,32000000.0,"Bahria Orchard, Lahore",5.0,6.0,10.0,Marla,2722.5
10 Marla Brand New Modern Luxury House Direct Owner meeting For Sale In Johar Town 65 Feet Road Gas installed,5.6 Crore,56000000.0,"Johar Town, Lahore",6.0,6.0,10.0,Marla,2722.5
10 Marla Brand New luxury Modern 65 feet Road House With direct owner meeting for Sale in Johar Town All original pictures attached,5.15 Crore,51500000.0,"Johar Town Phase 2, Johar Town",5.0,6.0,10.0,Marla,2722.5
Shahtaj Colony House Sized 5 Marla For sale,2.8 Crore,28000000.0,"Shahtaj Colony, Lahore",3.0,4.0,5.0,Marla,1361.25
DHAStylish 5 Marla Modern Bungalow,2.45 Crore,24500000.0,"DHA 9 Town - Block B, DHA 9 Town",4.0,5.0,5.0,Marla,1361.25
House For Sale In Allama Iqbal Town   Khyber  Block,2.21 Crore,22100000.0,"Allama Iqbal Town - Khyber Block, Allama Iqbal Town",3.0,3.0,5.0,Marla,1361.25
One Kanal Slightly Used Stunning Bungalow For Sale Near DHA Cinema Hall Hot Location,6.49 Crore,64900000.0,"DHA Phase 2, DHA Defence",5.0,6.0,1.0,Kanal,5445.0
One Kanal Slightly Used Bungalow At Hot Location,6.8 Crore,68000000.0,"DHA Phase 3, DHA Defence",5.0,6.0,1.0,Kanal,5445.0
06 Marla House For Sales In Park View City Lahore,1.8 Crore,18000000.0,"Park View City, Lahore",4.0,4.0,5.0,Marla,1361.25
2 Marla Double Storey House For Sale,70 Lakh,7000000.0,"Sabzazar Scheme, Lahore",4.0,2.0,2.0,Marla,544.5
Low Budget Owner Build Bungalow For Sale,6.5 Crore,65000000.0,"DHA Phase 7, DHA Defence",5.0,6.0,1.0,Kanal,5445.0
Elegant Ultra Modern Design House For Sale At Top Location Near To Carrefour,6.99 Crore,69900000.0,"DHA Phase 7, DHA Defence",5.0,6.0,1.0,Kanal,5445.0
1 Kanal Spanish Beautiful Design Bungalow For Sale At Prime Location,7.25 Crore,72500000.0,"DHA Phase 7 - Block W, DHA Phase 7",5.0,6.0,1.0,Kanal,5445.0
ONE KANAL LUXURY HOUSE TO FULLFILL YOUR LUXURIES FOR SALE AT VERY HOT LOCATION NEAR RAYA GOLF CLUB,8.95 Crore,89500000.0,"DHA Phase 6 - Block B, DHA Phase 6",5.0,6.0,1.0,Kanal,5445.0
Owner Needy Near DHA Raya 1 Kanal Brand New With Basement Modern Design Bungalow For Sale At Prime Location,6.75 Crore,67500000.0,"DHA Phase 7 - Block S, DHA Phase 7",5.0,6.0,1.0,Kanal,5445.0
Near DHA RAYA 1 Kanal Modern Beautiful Design Bungalow For Sale At Prime Location IN DHA Phase 6,8.4 Crore,84000000.0,"DHA Phase 6 - Block M, DHA Phase 6",5.0,6.0,1.0,Kanal,5445.0
